Finding ID,Category,Severity,Status,Confidence,Finding Title,Affected Component / File,Affected URLs,Search / AI Impact,Business Impact,Effort,Reach,Impact Score,Priority Score,Official Reference
SEO-001,SEO - Rendering,P1 High,Resolved,High,Client-Side SPA Architecture Lacks Static Pre-Rendering (SSG) for Public Routes,src/main.tsx & vite.config.ts,All Public Routes (23 URLs),Fast HTTP-only crawlers (PerplexityBot OAI-SearchBot) and non-JS engines cannot read page body from raw HTML,High organic discovery and LLM retrieval drop on non-JS fetchers,3,5,5,8.33,Google Search Central: JavaScript SEO Basics
SEO-002,SEO - HTTP & Hosting,P1 High,Resolved,High,Missing Production SPA Fallback and Security Header Configuration (vercel.json / _redirects / nginx),vercel.json & public/_redirects,All Deep Routes (404 on direct server refresh if unconfigured),Direct navigation to deep routes results in 404 on standard static CDNs without rewrite rules,Critical bounce rate and broken link penalties,2,5,5,12.50,W3C WebAppSec & MDN: SPA Routing
SEO-003,SEO - Technical,P2 Medium,Resolved,High,Dynamic Meta Tags and JSON-LD Injected Only Post-Hydration in Client DOM,src/components/SEOHead.tsx,All Subpages,Search engines without dynamic DOM waiting may index fallback title instead of route metadata,Suboptimal CTR and missing rich snippets on fast crawlers,2,5,4,10.00,Google Search Central: Understand JavaScript SEO
SEO-004,SEO - Performance,P2 Medium,Resolved,High,Large JavaScript Bundle Size (Optimized via Rollup manualChunks),vite.config.ts & src/App.tsx,Sitewide,Elevated Total Blocking Time (TBT) and Interaction to Next Paint (INP) on low-end mobile devices,Mobile bounce rate and Core Web Vitals penalty,3,4,4,5.33,web.dev: Optimize Interaction to Next Paint (INP)
SEO-005,SEO - On-Page,P3 Low,Resolved,High,Images Missing Explicit Width and Height Dimensions,src/components/HeroSection.tsx & HomePage.tsx,Homepage & Service Detail,Potential Cumulative Layout Shift (CLS) during high-latency network rendering,Minor CLS score degradation,1,4,2,8.00,web.dev: Optimize Cumulative Layout Shift
AEO-001,AEO - Extractability,P2 Medium,Resolved,High,Service Definitions Lack Concise Direct-Answer Summary Blocks (40-60 words),src/components/ServiceDetailView.tsx,All Service Detail Pages,Answer engines and Featured Snippets struggle to extract concise direct answers from conversational lead copy,Missed Featured Snippets and People Also Ask placements,2,4,4,8.00,Google Search Central: Featured Snippets
AEO-002,AEO - FAQ Schema,P2 Medium,Resolved,High,FAQPage Schema Injected Dynamically Without Static Fallback in Raw HTML,src/components/SEOHead.tsx,Service detail pages,FAQ Rich Snippet eligibility dependent on full JS rendering,Lower rich result qualification on non-Google answer engines,2,4,4,8.00,Google Search Central: FAQPage Structured Data
AEO-003,AEO - Semantic Tables,P2 Medium,Resolved,High,Comparison and Pricing/Timeline Data Rendered as Flex/Grid Divs Instead of Semantic HTML Tables,src/components/CompanyViews.tsx & ServiceDetailView.tsx,Pricing / Process / Tech Stack,Answer engines struggle to extract tabular pricing and timeline data from non-table markup,Reduced visibility in tabular answer boxes and calculation engines,2,3,3,4.50,W3C HTML5 Table Standards & Schema.org Dataset
GEO-001,GEO - Crawler Policy,P2 Medium,Resolved,High,Robots.txt Does Not Disambiguate AI Search Crawlers vs AI Model Training Bots,public/robots.txt,Sitewide,AI search crawlers (OAI-SearchBot PerplexityBot) treated identically to training scrapers (GPTBot),Inability to selectively monetize/protect training data while maintaining AI search citations,1,5,4,20.00,OpenAI & Anthropic Crawler Documentation
GEO-002,GEO - Fact Citations,P2 Medium,Resolved,High,Case Studies and ROI Claims Lack Verifiable Primary Citations and Public Methodology Footnotes,src/components/WorkAndInsightsViews.tsx,/case-studies & /client-success-stories,Generative engines (Perplexity ChatGPT) assign lower citation weight to unanchored claims,Reduced citation frequency in competitive LLM research answers,2,4,4,8.00,Stanford / Princeton GEO Benchmark Studies
GEO-003,GEO - llms.txt,P3 Low,Resolved,High,Absence of Curated Machine-Readable Markdown Specification (/llms.txt),public/llms.txt & public/llms-full.txt,Sitewide,AI agents and developer LLM tools require multi-step token crawling instead of single-pass context ingestion,Slower adoption by agentic coding tools and developer AI search,1,4,3,12.00,llmstxt.org Specification
AIO-001,AIO - Query Fan-Out,P2 Medium,Resolved,High,Missing Deep Supporting Topic Pages for Secondary AI Overview Sub-Queries,src/data/websiteMaster.ts,Services & Insights,Google AI Overview multi-hop query fan-out hits gaps on technical sub-queries,Competitors with deep sub-topic pages captured in AI Overview multi-source carousel,3,4,4,5.33,Google AI Overviews & Search Essentials
AIO-002,AIO - Multimodal Assets,P2 Medium,Resolved,High,Architecture Flowcharts Rendered as Divs/CSS Without Vector SVG / Structured Transcripts,src/components/ServiceDetailView.tsx,Service detail views,Multimodal AI search engines (Google Lens Gemini) cannot extract architecture diagram data,Missed image pack and multimodal AI carousel visibility,2,3,3,4.50,Google Search Central: Image SEO Best Practices
AIO-003,AIO - Agent Usability,P3 Low,Resolved,High,Public Modal Form Lacks ARIA-Live Status Announcements for AI/Browser Agents,src/components/Modals.tsx,Global Consultation Modal,Autonomous browser agents (e.g. Operator Computer-Use) may not detect form submission confirmation state,Agentic transaction failure in automated scheduling,1,3,2,6.00,W3C WAI-ARIA 1.2 Authoring Practices
